source,package,is_test,result,start,ccache_s,gap_before_s,wall_s,o_mtime_gap_s,c_bytes
module.onnxruntime.capi.onnxruntime_collect_build_info.c,onnxruntime,False,cache_miss,2026-09-23T12:42:26.913629,3.091,0.055,3.146,3.146,42895
module.onnxruntime.capi.onnxruntime_inference_collection.c,onnxruntime,False,cache_miss,2026-09-23T12:42:30.100585,14.000,0.096,14.096,14.108,2147685
module.onnxruntime.capi.onnxruntime_validation.c,onnxruntime,False,cache_miss,2026-09-23T12:42:44.166375,4.412,0.066,4.478,4.463,232270
module.onnxruntime.capi.version_info.c,onnxruntime,False,cache_miss,2026-09-23T12:42:48.625302,3.065,0.047,3.113,3.122,25591
module.onnxruntime.datasets.c,onnxruntime,False,cache_miss,2026-09-23T12:42:51.750632,3.196,0.060,3.256,3.260,56462
module.onnxruntime.quantization.CalTableFlatBuffers.KeyValue.c,onnxruntime,False,cache_miss,2026-09-23T12:42:55.005432,4.676,0.059,4.735,4.735,222968
module.onnxruntime.quantization.CalTableFlatBuffers.TrtTable.c,onnxruntime,False,cache_miss,2026-09-23T12:42:59.734981,4.100,0.053,4.153,4.152,243679
module.onnxruntime.quantization.CalTableFlatBuffers.c,onnxruntime,False,cache_miss,2026-09-23T12:43:03.877493,3.101,0.043,3.144,3.152,44120
module.onnxruntime.quantization.base_quantizer.c,onnxruntime,False,cache_miss,2026-09-23T12:43:07.049322,10.829,0.071,10.900,10.880,1046765
module.onnxruntime.quantization.c,onnxruntime,False,cache_miss,2026-09-23T12:43:17.943801,3.179,0.066,3.244,3.253,80869
module.onnxruntime.quantization.calibrate.c,onnxruntime,False,cache_miss,2026-09-23T12:43:21.222191,23.940,0.100,24.040,24.021,2681553
module.onnxruntime.quantization.execution_providers.c,onnxruntime,False,cache_miss,2026-09-23T12:43:45.227893,3.192,0.066,3.258,3.269,33942
module.onnxruntime.quantization.execution_providers.qnn.c,onnxruntime,False,cache_miss,2026-09-23T12:43:48.485433,3.298,0.065,3.363,3.369,56204
